Date,Adj Close,Open,High,Low,Vol.,Change %
1-Jun-20,0.705,0.695,0.735,0.66,88.36M,2.17%
29-May-20,0.69,0.73,0.735,0.69,185.51M,-6.76%
28-May-20,0.74,0.73,0.745,0.73,33.89M,-1.33%
27-May-20,0.75,0.76,0.78,0.75,28.19M,0.00%
22-May-20,0.75,0.765,0.77,0.745,16.34M,-1.96%
21-May-20,0.765,0.775,0.78,0.765,13.94M,-0.65%
20-May-20,0.77,0.775,0.785,0.76,13.71M,-0.65%
19-May-20,0.775,0.805,0.825,0.77,65.46M,3.33%
18-May-20,0.75,0.74,0.77,0.73,35.54M,1.35%
15-May-20,0.74,0.73,0.755,0.73,24.58M,1.37%
14-May-20,0.73,0.74,0.75,0.73,18.46M,-2.67%
13-May-20,0.75,0.75,0.755,0.73,26.52M,0.00%
12-May-20,0.75,0.77,0.77,0.75,41.59M,-3.23%
8-May-20,0.775,0.785,0.795,0.775,32.93M,-1.27%
6-May-20,0.785,0.8,0.805,0.785,20.77M,-1.87%
5-May-20,0.8,0.795,0.81,0.79,21.56M,0.63%
4-May-20,0.795,0.81,0.81,0.78,28.00M,-2.45%
30-Apr-20,0.815,0.805,0.825,0.8,66.42M,3.82%
29-Apr-20,0.785,0.77,0.79,0.77,37.03M,2.61%
28-Apr-20,0.765,0.795,0.8,0.755,31.06M,-2.55%
27-Apr-20,0.785,0.785,0.8,0.775,18.04M,1.29%
24-Apr-20,0.775,0.785,0.81,0.76,37.57M,-1.27%
23-Apr-20,0.785,0.815,0.825,0.78,49.93M,-3.09%
22-Apr-20,0.81,0.805,0.83,0.795,66.43M,-2.41%
21-Apr-20,0.83,0.87,0.905,0.82,144.62M,-4.60%
20-Apr-20,0.87,0.835,0.895,0.83,172.91M,10.83%
17-Apr-20,0.785,0.74,0.81,0.74,85.90M,9.03%
16-Apr-20,0.72,0.71,0.735,0.71,22.00M,0.00%
15-Apr-20,0.72,0.73,0.745,0.72,23.96M,0.00%
14-Apr-20,0.72,0.71,0.74,0.71,32.20M,1.41%
13-Apr-20,0.71,0.72,0.73,0.7,20.11M,-2.07%
10-Apr-20,0.725,0.74,0.74,0.7,31.79M,-2.03%
9-Apr-20,0.74,0.79,0.8,0.74,38.00M,-5.73%
8-Apr-20,0.785,0.805,0.81,0.78,25.68M,-3.68%
7-Apr-20,0.815,0.83,0.845,0.815,28.65M,0.62%
6-Apr-20,0.81,0.85,0.85,0.795,39.98M,-2.41%
3-Apr-20,0.83,0.815,0.865,0.81,64.68M,3.11%
2-Apr-20,0.805,0.78,0.82,0.775,37.22M,1.90%
1-Apr-20,0.79,0.78,0.84,0.77,43.42M,0.00%
31-Mar-20,0.79,0.775,0.79,0.76,28.93M,5.33%
30-Mar-20,0.75,0.73,0.765,0.71,43.44M,0.00%
27-Mar-20,0.75,0.72,0.835,0.7,118.00M,2.74%
26-Mar-20,0.73,0.77,0.78,0.72,48.26M,-1.35%
25-Mar-20,0.74,0.67,0.8,0.66,102.65M,17.46%
