Date,Adj Close,Open,High,Low,Vol.,Change %
26-Dec-19,5.38,5.35,5.38,5.35,19.80K,-0.19%
24-Dec-19,5.39,5.43,5.43,5.37,210.60K,-0.74%
23-Dec-19,5.43,5.4,5.46,5.39,1.17M,-0.37%
20-Dec-19,5.45,5.45,5.45,5.36,4.29M,0.74%
19-Dec-19,5.41,5.27,5.47,5.27,1.77M,0.56%
18-Dec-19,5.38,5.15,5.38,5.15,4.10M,3.26%
17-Dec-19,5.21,5.11,5.21,5.07,1.81M,2.56%
16-Dec-19,5.08,5.12,5.15,5.08,1.27M,-0.59%
13-Dec-19,5.11,5.16,5.22,5.11,1.27M,-0.97%
12-Dec-19,5.16,5.13,5.19,5.11,1.06M,0.98%
11-Dec-19,5.11,5.11,5.14,5.11,602.70K,0.00%
10-Dec-19,5.11,5.16,5.16,5.1,681.80K,-0.39%
9-Dec-19,5.13,5.18,5.18,5.1,985.80K,-0.19%
6-Dec-19,5.14,5.12,5.16,5.09,923.30K,0.98%
5-Dec-19,5.09,5.1,5.12,5.08,600.60K,0.39%
4-Dec-19,5.07,5.2,5.25,5.07,3.05M,-3.43%
3-Dec-19,5.25,5.27,5.27,5.18,1.20M,0.00%
2-Dec-19,5.25,5.2,5.26,5.19,753.50K,1.35%
29-Nov-19,5.18,5.37,5.39,5.15,3.00M,-3.18%
28-Nov-19,5.35,5.39,5.42,5.35,800.20K,-2.01%
27-Nov-19,5.46,5.35,5.46,5.35,1.73M,1.87%
26-Nov-19,5.36,5.28,5.36,5.28,6.84M,2.10%
25-Nov-19,5.25,5.3,5.33,5.22,2.23M,-1.13%
22-Nov-19,5.31,5.3,5.34,5.28,1.98M,0.57%
21-Nov-19,5.28,5.35,5.35,5.24,2.22M,-0.75%
20-Nov-19,5.32,5.35,5.36,5.32,1.98M,-0.37%
19-Nov-19,5.34,5.35,5.37,5.33,2.12M,-0.19%
18-Nov-19,5.35,5.37,5.4,5.34,1.33M,-0.37%
15-Nov-19,5.37,5.4,5.4,5.37,830.40K,-0.19%
14-Nov-19,5.38,5.4,5.4,5.37,742.30K,-0.19%
13-Nov-19,5.39,5.42,5.42,5.37,1.56M,-1.28%
12-Nov-19,5.46,5.43,5.46,5.39,1.03M,1.11%
11-Nov-19,5.4,5.41,5.44,5.36,2.02M,-0.18%
